dying  a.垂死的，临终的 
Berlin  n.柏林(德国首都) 
bent  n.爱好，癖好 a.弯的；决心的，一心的 
bend  n.弯曲 vt.使弯曲，使屈从 vi.弯曲，屈身 
bench  n.长凳；工作台；台座；法官席；全体法官 
belt  n.腰带，皮带；(农作物等)地带 v.用带系上 
below  prep.在…下面，在…以下 ad.在下面，向下 
belonging  n.［常pl.］所有物；行李 
belong  v.在(分类上)属,应归入;在所有权等方面属于 
bell  n.钟，铃(声)；钟形物 
believe  vt.相信，认为 vi.相信，信任，信奉 
belief  n.信任，相信，信念；信仰，信条 
Belgium  比利时(西欧国家) 
being  使用am,is,are+being表示某人暂时性的行为 
behind  prep.在...的背后，(遗留)在..后面；落后于 
beginning  n.开始，开端；起源，早期阶段 
begin  v.(began,begun)开始，着手 
beggar  n.乞丐，穷人，募捐者 
beg  vt.请求，乞求 vi.恳请，行乞 
before  prep.(指时间)在…以前,在..前面，在..之前 
beer  n.啤酒 
beehive  *n.蜂箱 
beefsteak  n．牛排 
beef  n.牛肉 vi.抱怨，诉苦 
bee  n.蜂，蜜蜂；忙碌的人 
bee  n.蜂，蜜蜂；忙碌的人 
bedroom  n.寝室；卧室 
bedclothes  n．(复)被褥，寝具(床单、毯子等) 
bed  n.床,床位；(苗)床,坛；河床，(湖、海的)底 
become  vi.变成，开始变得vt.适合，同…相称 
because  conj.因为，由于 
beauty  n.美，美丽；美人，美丽的事物 
beautiful  a.美的，美丽的；出色的，完美的 
beat  v.(接连地)打，击；心脏等跳动；打败，战胜 
beast  n.兽，野兽；牲畜；凶残的人，令人厌憎的人 
beard  n.(下巴上的)胡须，络腮胡子 
bear  v.经得起；倾向于；携带；生育；承担；怀有 
beancurd  *n.豆腐 
bean  n.豆，蚕豆，豆科植物 
beam  n.(横)梁，衍条；(光线的)束 v.微笑；发光 
beach  n.海滩，沙滩 v.拖(船)上岸 
be  v.(就)是，等于；(存)在；到达，来到，发生 
BC  (或B.C.)公元前(=Before Christ) 
BBC  英国广播公司 
bay  n.海湾，港湾；(建筑物或房间的)分隔间 
battleship  n.战舰 
battlefield  n.战场；争论点 
battlefield  n.战场；争论点 
battle  n.战斗，战役，斗争 vi.战斗，战争，搏斗 
bathroom  n.浴室；盗洗室，卫生间 
bathe  vt.给…洗澡；把…浸入 vi.洗澡；游 n.游泳 
bath  n.洗澡，浴盆；公共浴室 v.洗澡；给…洗澡 
bat  n.球拍；球棒；蝙蝠 v.用棒击，打击球 
Bastille  巴士底狱（在法国巴黎） 
basketball  n.篮球，篮球运动 
basket  n.筐，篮，篓 
basin  n.脸盆，盆；盆地，流域，内海 
basic  a.基本(础)的，根本的；主要的 n.基础(本) 
base  n.基(础)，底(座)；基地 vt.(on)以…为基础 
bargain  n.契约；交易；劳资协议；便宜货 v.讲价钱 
barefooted  ad.&a.赤脚(的) 
Barcelona  巴塞罗纳(西班牙城市) 
bar  n.棍，闩；酒吧；障碍；(光、色等的)带、条 
banker  n.银行家，银行工作人员 
bank  n.堤；银行；田埂；一团 vi.把钱存入银行 
bang  n.巨响，猛击 vi.砰砰作响 vt.砰地敲，猛击 
banana  n.香蕉；芭蕉属植物 
ban  v.取缔，查禁；(from)禁止 n.禁止，禁令 
bamboo  n.竹；竹子 a.用竹子制的 
ballpen  圆珠笔 
balloon  n.气球 vi.如气球般膨胀 
ball  n.球(状物);(正式的)舞会vt.把…捏成球状 
balance  n./v.秤；平衡；艺术作品的和谐；余额,结欠 
bake  v.烤，烘，焙；烧硬，烘干(砖块、陶器等) 
baggage  n.(美)行李 
bag  n.袋，提包 v.把…装入袋中；猎杀；占有 
badly  ad.非常，严重地；坏地，差地，拙劣地 
bad  a.坏的；低劣的；不舒服的；腐败的；严重的 
backward  a.向后的 ad.向后地，倒，逆[=backwards] 
back  a.后面的 ad.向后 v.倒退；支持 n.背；后面 
baby-sitter  n.(代人临时)照看婴儿者 
baby  n.婴儿；年龄最小的人；幼畜或雏鸟 
away  ad.在远处；离开；渐渐远去；一直，不停地 
award  vt.授予(奖品等) 给予 n.奖，奖品，奖学金 
awake  a.醒着的 vt.唤醒，使觉醒 vi.醒来，醒悟到 
await  vt.等候，期待；(事情等)降临于 
avoid  vt.防止，避免；逃避，避开 
average  n.平均，平均数 a.平均的；平常的，普通的 
avenue  n.林荫路，大街；(比喻)途径，渠道，方法 
autumn  n.秋，秋季；成熟期，渐衰期 
author  n.作者，作家，著作人；创始人，发起人 
Australian  a.澳大利亚(人)的，澳州区的 n.澳大利亚人 
Australia  n.澳大利亚(地名) 
aunt  n.姨母，姑母，伯母，婶母，舅母，阿姨 
August  a.尊严的；威严的 
attribute  v.(to)归于，视为n.属性[同]characteristic 
attract  vt.引起的注意(或兴趣等),吸引；引起；激起 
attitude  n.态度，看法(to, toward, about)；姿势 
attentively  adv．专心地，聚精会神地 
attention  n.注意，注意力；立正；特别照顾；照料 
attend  vt.出席，参加；照顾，护理 vi.注意；侍奉 
attempt  vt.企图，试图 n.努力，尝试，企图 
attack  v./n.攻击，抨击；着手，开始 n.(病)发作 
atmosphere  n.大气(层)；空气；气氛，环境；大气压 
Atlantic  plaa.大西洋的 n.(the A-)大西洋 
athlete  n.运动员，体育家，身强力壮的人 
at  prep.[表示价格、速度等]以，达；在..方面 
Aswan  n.阿斯旺(埃及城市) 
astronaut  n.太空人，太空旅行者 
astonishment  n.great surprise; amazement 惊奇，惊讶 
astonishing  adj．令人惊讶的 
astonish  vt.使惊讶，使吃惊 
assistant  a.帮助的，辅助的 n.助手，助教；辅助物 
asleep  a.睡觉，睡着(用作表语) 
ask  vt.问，询问；请求，要求；邀请，约请 
aside  ad.在旁边，到一边 n.旁白；离题的话 
Asian  a.亚洲的，亚洲人的 n.亚洲人 
Asia  n．亚洲 
Asia  n．亚洲 
ashtray  *n.烟灰缸 
ashamed  a.惭愧的，羞耻的，害臊的 
ash  n.灰，灰末；(pl.)骨灰；(pl.)废墟 
as  ad.同样地 conj.由于；像...一样 prep.作为 
artist  n.艺术家，美术家；(某方面的)能手 
article  n.文章，论文；条款，条文；物件；冠词 
art  n.艺术，美术；技术，技艺；文科，人文科学 
arrow  n.箭，矢，箭状物；箭头符号 
arrive  vi.到达；(时间、事件)到来，发生；达到 
arrival  n.到达，到来；到达者，到达物 
arrange  v.安排，筹划；整理，使有条理，排列，布置 
arouse  vt.唤醒，叫醒；唤起，激起 
around  ad.在...周围，到处 prep.在..四周(或附近) 
army  n.军队，陆军，军；大群，大批 
arms  n．兵器，武器 
armchair  n.扶手椅，安乐椅 
arm  n.手臂，扶手，臂状物 v.武装；配备 n.武器 
arithmetic  n.算术，四则运算 
arisen  arise的过去分词 
arise  v.出现，发生；(from)由…引起，由…产生 
argument  n.争论(吵)，辩论；理由;论证 
argue  vi.辩论，争论 vt.辩论，论证；说服，劝说 
area  n.面积；地区，地域；领域，范围 
are  v.是(be的第二人称单数和各人称的复数形式) 
Arctic  a.北极(区)的 n.[the A-]北极，北极圈 
architecture  n.建筑，建筑学；建筑式样或风格，建筑物 
architect  n.建筑师；设计师；缔造者；创造者 
architechure  n 建筑，建筑学 
Arabic  n.阿拉伯语 a.阿拉伯人(语)的，阿拉伯的 
Arab  n.阿拉伯人；阿拉伯马 a.阿拉伯人的 
April  (名)四月 
appreciate  vt.为...表示感激，感谢；欣赏，赏识，评价 
application  n.申请，请求，申请书；应用，实施，实用性 
apple  n.苹果，苹果树 
appearance  n.出现，露面；外表；(在会议等)作短暂露面 
appear  vi.出现；出场；问世；仿佛；出版，发表 
apology  n.道歉，认错，辩解，辩护 
apologize  v.道歉，认错；辩护，辩解 [=apologise] 
apart  ad.分离，离开，隔开 a.分离的，分隔的 
anywhere  ad.无论哪里；(用于否定、疑问等)任何地方 
anyway  ad.不管怎么说，无论如何；不论以何种方式 
anything  pron.任何东西(事物)；无论什么东西(事物) 
anyone  pron.(用于疑问句，否定式)任何人 
anyhow  ad.不管怎么说，无论如何；不论用何种方法 
any  a.(用于否定句、疑问句等)什么,一些;任何的 
anxiously  adv．忧虑地，担心地 
anxious  a.焦虑的，担心的；急于(得到的)，渴望的 
anxiety  n.挂念，焦虑，焦急，忧虑；渴望，热望 
Antarctica  *n.南极洲 
ant  *n.蚁；蚂蚁 
answer  vt.回答，答复，答案 v.回答，答复，响应 
another  a.另一个，又，再 pron.另一个，类似的一个 
announcement  n.布告，通告；声明，预告 
announce  v.正式宣布；发表；通告；广播（电台节目） 
ankle  n.足踝，踝关节 
animal  n.动物，野兽，牲畜 a.动物的，野兽的 
angry  a.生气的，愤怒的；(天气)风雨交加的 
anger  n.愤怒，气愤 vt.使发怒，激怒 vi.发怒 
and  conj.和，与，而且；那么；接连，又 
ancestor  n.祖宗，祖先；原型，先驱 
amusement  n.娱乐，消遣，娱乐活动；快乐，欢乐 
amount  n.总数，数量；数额 v.共计；等同,接近(to) 
among  prep.在…之中；在一群(组)之中；于…之间 
American  a.美国(洲)的；美国人的 n.美国人，美洲人 
America  n.美国 [=the USA]；美洲 
amazing  a.令人吃惊的，使人十分惊奇的 
am  =amplitude modulation调幅广播系统 
always  ad.总是，无例外地；永远，始终 
altogether  ad.完全，总之，全部地；总共；总而言之 
although  conj.尽管，虽然...但是 
also  ad.而且(也)，此外(还)；同样地 
already  ad.已，已经，早已 
aloud  adv.出声地，大声地 
along  ad.向前；和...一起，一同 prep.沿着，顺着 
alone  a.单独的，孤独的 ad.单独地，独自地；仅仅 
almost  adv.几乎，差不多 
allow  vt.允许，准许；承认；给予 vi.(for)考虑到 
all  a.全部的；非常的 ad.完全地，很 pron.全部 
alive  a.活着的；存在的；活跃的；(to)敏感的 
alike  a.同样的，相像的ad.一样地；同程度地　 
Albert Einstein  爱因斯坦(美籍德国理论物理学家) 
alarm  n.惊恐；警报(器) vt.惊动，惊吓；向…报警 
airport  n.机场，航空站，航空港 
airline  n.(飞机)航线 a.(飞机)航线的 
airless  a.缺少空气的；不通风的 
aircraft  n.飞机，飞船，飞行器 
air  n.空气；(复数)神气 vt.(使)通风；晾干 
aim  n.目的；瞄准 vi.(at)目的在于 vt.把…瞄准 
aid  n.援助，救护；助手，辅助物 vi.援助，救援 
ahead  ad.在前面(头)；向(朝)前；提前 
agriculture  n.农业，农艺，农耕 
agricultural  a.农业的；农艺的；农学的 
agreement  n.协定；协议；契约；达成协议；同意，一致 
agree  vi.答应，赞同；适合，一致；商定，约定 
ago  ad.(常和一般过去时的动词连用)以前，…前 
age  n.年龄；时代；老年；长时间 v.(使)变老 
against  prep.对着，逆；反对；违反；紧靠着；对比 
again  ad.再次，另一次；重新；除此，再，更，还 
afterwards  (或afterward)adv.后来，然后，以后 
afternoon  n.下午，午后 
after  prep.在...以后；在...后面 adv.以后，后来 
African  adj.非洲的 n.非洲人，非洲居民 
Africa  n．非洲 
afraid  adj.害怕的，恐惧的；犯愁的，不乐意的 
afford  vt.担负得起(损失、费用、后果等)，买得起 
affect  vt.影响，作用；(疾病)侵袭；感动 
affair  n.[pl.]事务；事情(件)；(个人的)事 
aeroplane  n.(英)飞机 (=airplane) 
advise  vt.忠告，劝告，建议；通知，告知 
advice  n.劝告，忠告，(医生等的)意见 
advertisement  n.广告,公告,启事；广告活动 
advertise  vt.公告，公布；为...做广告 vi.登广告 
adventure  n.冒险，冒险活动，奇遇 vt.大胆进行 
advantage  n.优点，长处，有利条件；利益，好处 
advanced  a.超前的，先进的；高级的；开明的；前进的 
advance  n.前进，预付 vi.前进，进展 vt.促进，推进 
admit  vt.承认，供认；准许…进入，准许...加入 
admire  vt.钦佩,赞赏,羡慕；称赞,夸奖 
address  n.住址；致词 v.向...致词；在信封上写姓名 
add  vt.加；增加(进)；进一步说/写 vi.(to)增添 
AD  (或A.D.)(=Anno Domini)［拉］公元后 
ad  (或A.D.)(=Anno Domini)［拉］公元后 
actually  ad.实际上；(表示惊讶)居然，竟然 
actual  a.实际的；现实的，真实的，目前的 
actress  n.女演员 
actor  n.男演员；演员，行动者 
activity  n.（人脑器官等的）正常活动，活动；行动 
active  adj.活跃的，敏捷的，积极的；在活动中的 
action  n.行动，动作；作用；运转；行为；战斗 
act  v.表演；举动；起作用 n.行为，法令；一幕 
across  prep.横过，越过；在的对面 ad.横过，穿过 
achievement  n.实现，完成，达到；(不可数)成绩；成就 
achieve  vt.实现，完成；达到，得到vi.达到预期目的 
ache  vi.痛；哀怜 n.(指连续)疼痛、酸痛 
according  ad.(与to构成介词)按照，根据 
accident  n.意外遭遇,事故；意外(因素) 
accept  vt.接受，领受；认可，同意 vi.同意，认可 
absent  a.缺席的；缺乏的,不存在的;心不在焉的 
absence  n.缺乏，不存在；缺席，不在；缺席的时间 
abroad  ad.到国外，在国外；在传播，在流传 
above  a.上述的 ad.在上面 prep.在..之上，高于 
about  ad.在周围；大约 prep.关于；在周围 a.准备 
aborigines  n.(复)土著居民 
able  a.有(能力、时间、知识等)做某事，有本事的 
ability  n.能力；本领；才能，才干；专门技能，天资 
A.M.  abbr．(ante meridiem的缩写)上午，午前 
a  art.一(个)；每一(个)；(同类事物中)任一个  
zoo  n.动物园 
zone  n. 地区 v.分区，划分地带 [同]area 
zero  n.&num.(数词)零；(温度计等)零度；零点 
youthful  a.年轻的，有青春省活力的 
youth  n.青春，青少年时代；男青年[总称]青年们 
yourselves  pron.[反身代词]你们自己；你们亲自 
yourself  pron.[反身代词]你自己；你亲自 
yours  pron.[you的物主代词]你(们)的(所有物) 
your  pron.[you的所有格]你的，你们的 
young  a.年轻的，幼小的；没经验的 n.青年人 
you  pron.你；你们；一个人，任何人 
yet  ad.还，尚，仍然；已经 conj.然而 ad.甚至 
yesterday  n.&ad.昨天；前不久 
yes  ad.是[用于肯定句前]，是的 
yellow  a.黄的，黄色的 n.黄色 
yearly  a.每年的，一年一度的 ad.每年，一年一次地 
year  n.年，年度，学年 a./ad.每年，一年一次 
yard  n.院子，场地；码(英美长度单位) 
X-ray  n.X光，X射线；X光照片 vt.用X光摄影 
wrong  a.错的 ad.错误地，不正确地 n.错误 v.委屈 
writer  n.作者，作家，文学家 
write  v.写，书写，写字；写作；写信(给)，函告 
wrestling  n.摔跤(运动) 
wrap  v.裹，包；覆盖，包围 n.包裹物，包装材料 
wounded  adj.受伤的 n.伤员 
wound  n.伤口，创伤 vt.使受伤；伤害(感情) 
would  aux./v.将；可能；将会；总是，总会；宁愿 
worthy  a.值得...的；有价值的；可尊敬的/配得上的 
worthwhile  a.值得花时间(或精力)的；有价值的 
worthless  a.无价值的，无用的；不足道的，不可取的 
worth  a.值钱；值得，具有..价值 n.价值，作用 
worst  a.最坏(差；恶劣)的 ad.最坏地，最差地 
worship  n.礼拜，礼拜仪式；崇拜 v.崇拜；做礼拜 
worse  a.更坏(差)的；(病)更重的 ad.更坏(差)地 
worry  n.担心；忧虑；烦恼的事或人 v.(使)担心 
worried  a.担忧的，担心的，发愁的 
worm  n.蠕(虫)；懦夫，不受尊重的人 
worldwide  a.全世界的，世界范围的 ad.遍及全世界 
world-famous  adj.世界闻名的 
world  n.世界，地球；…界，领域；世间；全世界 
workshop  n.车间，工场，修理厂；研讨会，讲习班 
works  n.著作，作品；工厂，作坊 
workmate  n.工友；同事 
workforce  n.劳动大军，劳动力 
worker  n.工人，工作者，工作人员 
work  n.工作(量)；作品；[pl.]工厂 v.工作；运转 
word  n.词，词语；言语，话；谈话；消息，信息 
woolen  a. 羊毛(制)的；毛纺的 
wool  n.羊毛；毛线；毛纺织品 
wooden  a.木制的，木头的；木头似的，呆笨的 
woodcutter  *n.樵夫；伐木工 
wood  n.木材，木头，木料；(pl.)森林，林地 
wonderful  a.令人惊奇的；精彩的，绝妙的；了不起的 
wonder  n.惊奇；奇迹 v.诧异，奇怪；纳闷，想知道 
woman  n.(pl.）women妇女，成年女子 
wolf  n.(［复］wolves)狼；贪婪的人 
without  prep.无，没有 n.外面，外部 
within  prep.在..以内 ad.在内部，在里面 n.里面 
with  prep.跟…一起；用；具有；关于；因；随着 
wish  v.希望；但愿；祝 n.愿望，希望；[pl.]祝愿 
wise  a.有智慧的，聪明的；明智的；有学问的 
wisdom  n.intelligence an good judgement 智慧 
wireless  a.无线的 n.无线电话(电报)；无线电广播 
wire  n.金属线，电线；电报，电信 v.发电报(给) 
wipe  v.擦，抹，揩 n.擦，抹，揩 
winter  n.冬季，冬天 
winner  n.获胜者，成功者，优胜者 
wing  n.翼，翅膀；边锋；侧厅；边房 
wine  n.(由葡萄等制成的)水果酒 
windy  adj.有风的, 多风的 
window  n.窗子，窗户，窗口 
wind  n.风；气息；呼吸 v.转动；缠绕；蜿蜒而行 
win  vi.获胜，赢 vt.赢得；在…中获胜 n.胜利 
willingness  n.心甘情愿(乐意做…的)心情 
willingly  adv.乐意地，自愿地 
willing  a.愿意的，乐意的，心甘情愿的 
will  aux./v. 将；会；愿意 n.意志；决心；愿望 
wildlife  n.野生动物；野生植物；野生生物 
wild  a.野的，野生的；未开发的；原始的；放荡的 
wife  n.(pl.)wives妻子，夫人，太太 
widespread  a.分布广的，流传广的 v.加宽，放宽 
widely  ad.广泛地，普遍地；广博地；大大地 
wide  a.宽的，宽阔的；广泛的 ad.广大地；全部地 
why  ad./conj.为什么；…的理由 int.咳，哎呀 
whose  pron.谁的；哪(个)人的，那些(人)的 
whom  pron.谁；哪个人(who的宾格) 
whole  n.全部 a.全体的；全部的；完整的；无缺的 
whoever  pron.[引导名词从句]谁；无论谁；究竟是谁 
who  pron.谁，什么人；…的人；他，她，他们 
white  a.白色的；苍白的；白种的 n.白色；白种人 
whistle  v.吹口哨，鸣笛 n.口哨/汽笛声；哨子，汽笛 
whisper  v.耳语，轻声说；偷偷告诉 n.耳语，轻声说 
whip  n.鞭子 vt.鞭打，抽打；搅拌(奶油，蛋等) 
while  conj.当…的时候；而；虽然；尽管 n.一会儿 
whichever  pron.无论哪个 a.无论哪个(或哪些) 
which  a./pron.哪个，哪些；什么样的；那个，那些 
whether  conj.是否，会不会，不管，无论 
wherever  conj.无论什么情况下(在哪里、到什么地方) 
where  ad.在哪/那里 conj./pron.哪里 conj.然而 
whenever  conj./adv.无论什么时候；随时 
when  ad./pron.何时；当时 conj.那时；然后；而 
wheelchair  *n.轮椅 
wheel  n.轮，车轮vt.(用车)推，拉vi.转动 
wheat  n.小麦；麦粒 
whatever  pron.无论什么；任何..的事物 a.不管怎样的 
what  pron.什么 a.多么，何等；什么；尽可能多的 
whale  n.鲸；庞然大物 
wet  a.湿的，潮的；多雨的，雨天的 v.(使)弄湿 
westwards  a.向西的 
westerner  n.(美)西部居民；[常pl.]西洋人，西方人 
western  a.西方的，西部的 n.(美国)西部小说/电影 
west  n.西(方；部) ad.向(在)西方 a.西方(部)的 
Welsh  a.威尔士(人，语)的 n.威尔士人 
well-known  a.有名的，出名的；众所周知的 
well  ad.好，令人满意地；很 int.哎呀，好啦，嗯 
welcome  int.欢迎 a.受欢迎的 v./n.欢迎；迎接 
weight  n.重量，体重；砝码；重压，负担；重要性 
weigh  vt.称，量；重，重达；考虑，权衡 vi.重… 
weep  v.哭泣，流泪 n.悲叹，哀悼，为...伤心 
weekly  a.每周的,一周一次的 ad.每周一次地 n.周报 
weekend  n.周末，周末假期 
weekday  n.平常日，工作日(指除周六、日以外的日子) 
week  n.星期，周，工作周 
weed  n.杂草，野草 vt.除(杂草)；清除；淘汰 
Wednesday  (名)星期三 
wedding  n.婚礼，结婚，结合 
weaver  n.纺织工；编织者 
weave  v.编(织) n.编织法，编织式样 
weatherman  n.气象播报员 
weather  n.天气 vt.(安然)度过(暴风雨、难关等) 
wear  v.穿着，戴着；磨损，用旧 n.穿，戴；磨损 
wealthy  a.rich,abundant 富裕的，富庶的 
wealth  n.财产，财富；大量，丰富 
weakness  n.虚弱，衰弱，软弱；弱点，缺点；嗜好 
weak  a.虚弱的，无力的；弱的；淡薄的；不充分的 
we  pron．我们<主格> 
way  n.道路，路程；方法/式，手段；习惯；状态 
wave  v.波动，飘动；向...挥手 n.波浪/飘扬/挥手 
water  n.水 vt.浇灌；给…饮水 vi.流泪，加水 
watch  v.观看；看守；(for)窥伺，等待 n.看管；表 
waste  a.荒芜的；无用的，废弃的 v./n.浪费；废物 
wash-room  厕所 
Washington  n.华盛顿特区。(是美国首都) 
washing  adj．洗衣服用的，清洗用的 
wash  n.洗；洗的衣物 vt.冲刷，洗；冲出 vi.洗澡 
wartime  *n.战时 
warship  n.军舰；战船 
warning  n.警告，预兆；预告通知，提醒 
warn  vt.警告 vi.发出警告 
warmhearted  adj.热情的，亲切的 
warm-blooded  adj.(动物)温血的 
warm  a.温暖的，热心的，热情的 v.(使)变暖 
war  n.战争(状态)；冲突 vi.作战 
want  (+不定式):想。(动词want后面用不定式短语) 
wander  v.迷路，过失，离开正题，离题；徘徊，漫步 
wallet  n.(男人用的放钱币、证件等的)皮夹子 
wall  n.墙，壁，围墙vt.筑墙围住，用墙隔开 
walk  v.走，步行，散步；走遍 n.走，步行，散步 
Wales  威尔士(在大不列颠岛西南部) 
wake  v.醒，醒来；唤醒；使认识到，激动，引起 
waitress  n.(餐厅、旅馆的)女服务员 
waiting-room  候车室 
waiter  n.（ 饭店、旅馆、餐厅等的） 服务员 
wait  v.(for)等待；(on)侍候 n.等候，等待时间 
waist  n.腰(部)；衣服的腰部 
wagging  *a.摇动的；摆动的 
wag  v.(狗尾巴等)摆动 n.诙谐幽默者 
voyage  n.航海，航行 v.航海，航行于(海上) 
voter  n.投票者，有投票权者 
vote  n.选举，投票，选票 vt.推选 vi.投票；选举 
volleyball  n.排球，排球运动 
voice  n.说话声音，嗓音，噪子；语态 v.说话;表达 
vocabulary  n.词汇，词汇量；词汇表 
visitor  n.参观者，游客，访问者，客人，来宾 
visit  vt.inflict (punishment) for (wrongdoing) 
violin  n.小提琴(手) 
violent  a.剧烈的，猛力的；强暴的，由暴力引起的 
violence  n.暴力(行为)，强暴(行为)；猛烈，激烈 
vinegar  *n.醋 
villager  n.村民，乡村居民 
village  n.乡村，村庄；村民 
viewer  n.电视观众，观看者，观察者 
view  n.看法，见解，观点；vt.看待，考虑，估量 
videophone  *n.可视电话 
video  a.电视的，视频的；录像的 n.电视，录像 
victory  n.胜利，成功 
very  ad.很，非常；完全 a.正是的；真正，真实的 
verb  n.[语法]动词 
Venus  n.维纳斯；美人；色情 
vegetable  n.蔬菜，植物 a.植物的，蔬菜的 
vast  a.广阔的，浩瀚的；巨大的，庞大的，大量的 
vase  n.(装饰用的)瓶；花瓶 
various  a.各种各样的，不同的；多方面的，多种的 
variety  n.变化，多样化；种类，种种；品种，变种 
value  n.价值；实用性；(pl.)价值观 vt.估价/尊重 
valuable  a.贵重的，有价值的 n.[pl.]贵重物品，财宝 
valley  n．1)(江、河等)流域；2)(山)谷 
vacation  n.假期，休假；空出，腾出 
usually  adv.通常，平常，一般 
usual  a.通常的，平常的，惯常的 
user  n.使用者，用户 
useless  a.无用的，无价值的；无益的，无效的 
useful  a.有用的，实用的；有益的，有帮助的 
used  a.用旧了的，旧的；习惯于…；过去惯/经常 
use  n.使/应用；用法/途；益/用处 vt.用；消耗 
us  美国（the United States的缩写） 
uranium  n.铀(放射性元素) 
upwards  ad.向上，上升，…以上 (=upward) 
upstairs  ad.在楼上；往楼上 a.楼上的；在楼上的 
upset  a.unhappy or disappointed心烦的，苦恼的 
upper  adj．上部的，在……之上的 
upon  prep.在…上；在…旁 [=on] 
up  ad.向上，...起来；...完；起床 prep.向上 
unusual  a.不平常的，少有的；与众不同的，独特的 
until  conj.&prep.直到…为止，在…以前；直到… 
unsold  adj.未卖掉的，未售出的 
unrest  n.(社会上的)不安，不稳，(心中的)不安 
unreserved  *a.没有被预订的 
unpleasant  a.令人不快的；爱争执的[反]amiable 
unmarried  a.未婚的, 独身的 
unlike  prep.不像…，和…不同 a.不相似的，不同的 
unless  conj.除非 prep.除…外 
unknown  a.未知的；不出名的 n.不知名，未知数(量) 
university  n.大学，综合性大学 
universe  n.天地，宇宙，万物；全人类；银河系 
united  a.和谐的；团结的；联合的，统一的 
unite  v.(使)统一，(使)联合，(使)团结；(使)接合 
unit  n.单位，部队；单元，部件，元件；计量单位 
union  n.工会，协会；结合，联合；一致，团结 
uniform  n.制服，军服 a.相同的，一律的，一贯的 
unhealthy  a.有碍健康的；体弱多病的，不健康的 
unfortunatelly  不幸运的 
unfold  v.展开，打开；显露，展现 
unfit  a.(for)不适宜的，不适当的 
unfair  a.not fair or right; unjust 
undress  vi.脱衣服vt.除去…的衣服n.裸体的状态 
undivided  *a.没有分开的；专一的；专心的 
underwater  a./ad.水下面的（地） 
understanding  n.洞察力；理解力；领会 a.体谅的，宽容的 
understand  v.懂，理解；得知，听说，获悉；以为，认为 
underline  vt.在…之下划线；强调 n.下划线 
underground  a.地(面)下的，秘密的，不公开的 ad.秘密地 
under  prep.在…下面； 在…以下 ad.在下面；少于 
uncle  n.伯父，叔父，舅父，姑父，姨父 
uncertain  a.(of)不定的，不确知的；不可靠的，易变的 
unboiled  adj.未煮开的 
unable  a.[后接动词不定式]不能的，不会的 
umbrella  n.伞，雨伞；保护伞 
UK  n.联合王国 
ugly  a.难看的，丑陋的；讨厌的，丑恶的，卑劣的 
tyre  n.轮胎, 车胎(尤指外胎) 
typist  n.打字员 
typewriter  n．打字机 
type  n.型式，类型；印刷字体；活/铅字 v.打字 
two  num.二，两个n.两个(人或物) 
twin  a.双的，成对的，孪生的 n.孪生子，双生子 
twice  adv.两次，两倍地 
twenty  num.二十 pron./a.二十(个，只...) 
twentieth  num.第二十 n.二十分之一 
twelve  num.十二 pron./a.十二(个，只...) 
twelfth  num.第十二 n.十二分之一 
TV  n.(=television)电视；电视机 
turning  n.旋转，转向；转弯处 
turn  v.(使)转动，(使)旋转；(使)变化n.一次机会 
Tuesday  (名)星期二 
try  v.尝试，试图；试验，试用；审讯 n.尝试 
truth  n.真实，真相；真实性，忠实性；真理 
trust  n.信任；可信任的人(或物) vt.相信；委托 
trunk  n.大衣箱，(汽车后部)行李箱；树干，躯干 
truly  adv.真实地；真诚地；确定地 
true  a.真实，不假的；忠实，可靠的；正确无误的 
truck  n.卡车，载重汽车；(铁路上的)敞篷货车 
trousers  n.(较正式的说法)长裤 
troublesome  a.令人烦恼的，讨厌的；麻烦的，难处理的 
trouble  n.苦恼，麻烦；故障；动乱 vt.麻烦 vi.费神 
troop  n.[pl.]军队，部队；一群，一队，(一)大批 
trip  n.旅行；绊，绊倒 vi.绊，绊倒 
trick  n.花招，诡计；恶作剧；窍门 vt.欺诈，哄骗 
trial  n.讯问，审讯；试验；试用；尝试，努力 
tremble  vi.颤抖；焦虑，担忧 n.颤抖的动作或声音 
tree  n.树，语法树 
treatment  n.治疗，疗法；对待，待遇，处理 
treat  v.&n.对待，处理；医疗，治疗；款待，请客 
treasure  n.财宝，宝物；珍品，宝贝 vt.珍惜，珍视 
traveller  n.旅馆；旅游者 
travel  n.旅行 vi.旅行；(光、物体等)移动，运行 
trap  n.陷阱，圈套 vt.诱捕；使中圈套 vi.设圈套 
transportation  n.运输，运输系统，运输工具 
transport  v.运输，搬运 n.运输；运输系统，运载工具 
translation  n.翻译，译；译文，译本 
translate  v.翻译，解释；转化，化 
training  n.培训，训练，培养[同]discipline 
trainer  n.训练员，教(练)员 
train  n.列车；行列，系列，一串 v.训练，培养 
trail  n.踪迹，痕迹；(乡间)小道 v.追踪，跟踪 
tragedy  n.a serious play that ends unhappily 
traffic  n.交通(量)；(非法)交易vi.(非法)交易 
trade  n.贸易，商业；行业，职业 vt.做买卖，交换 
tractor  n.拖拉机，牵引车 
track  n.跑/轨道，路线；足/踪迹 vt.跟踪，追踪 
 
trace  n.痕迹；极少量，微量 v.描绘；跟踪，追踪 
toy  n.玩具vi.(with)漫不经心地考虑；摆弄 
town  n.市镇；市民；城市商业区，闹市区 
